Мичуринск,98758,michurinsk
Моршанск,41550,morshansk
Рассказово,45484,rasskazovo
Тамбов,280457,tambov
Уварово,26829,uvarovo
Агрыз,19299,agryz
Азнакаево,34859,aznakaevo
Альметьевск,146309,almetevsk
Арск,18114,arsk
Бавлы,22109,bavly
Бугульма,89144,bugulma
Буинск,20342,buinsk
Елабуга,70750,elabuga
Заинск,41798,zainsk
Зеленодольск,97651,zelenodolsk
Казань,1216965,kazan
Кукмор,17700,kukmor
Лениногорск,64145,leninogorsk
Менделеевск,22075,mendeleevsk
Мензелинск,16474,menzelinsk
Набережные Челны,513242,naberezhnye_chelny
Нижнекамск,234108,nizhnekamsk
Нурлат,32600,nurlat
Чистополь,60703,chistopol
Бежецк,24517,bezhetsk
Бологое,23499,bologoe
Вышний Волочек,52326,vyshniy_volochek
Кашин,16174,kashin
Кимры,49623,kimry
Конаково,41303,konakovo
Нелидово,22886,nelidovo
Осташков,18073,ostashkov
Ржев,62026,rzhev
Тверь,403726,tver
Торжок,47702,torzhok
Удомля,31048,udomlya
Асино,25614,asino
Колпашево,24126,kolpashevo
Северск,108466,seversk
Стрежевой,42216,strezhevoy
Томск,522940,tomsk
Алексин,61738,aleksin
Богородицк,31897,bogoroditsk
Венев,15220,venev
Донской,64561,tulskaya_oblast_donskoy
Ефремов,42350,efremov
Кимовск,28493,kimovsk
Киреевск,25585,kireevsk
Новомосковск,131227,novomoskovsk
Плавск,16248,plavsk
Суворов,18975,suvorov
Тула,501129,tula
Узловая,55282,uzlovaya
Щекино,58154,schekino
Ясногорск,16804,tulskaya_oblast_yasnogorsk
Кызыл,109906,kyzyl
Заводоуковск,25657,zavodoukovsk
Ишим,69567,ishim
Тобольск,99698,tobolsk
Тюмень,581758,tyumen
Ялуторовск,36494,yalutorovsk
Воткинск,100034,votkinsk
Глазов,95835,glazov
Ижевск,628117,izhevsk
Можга,47959,mozhga
Сарапул,101390,sarapul
Барыш,17149,barysh
Димитровград,122549,dimitrovgrad
Инза,18547,inza
Новоульяновск,16032,novoulyanovsk
Ульяновск,613793,ulyanovsk
